Scaled and translated NACA 2412
4.000000000000000000e+00 5.025199999999999667e-01
3.991944000000000159e+00 5.041820000000000190e-01
3.978565999999999825e+00 5.069240000000000412e-01
3.963573999999999931e+00 5.099660000000000304e-01
3.947016000000000080e+00 5.132879999999999665e-01
3.929057999999999939e+00 5.168500000000000316e-01
3.909952000000000094e+00 5.205899999999999972e-01
3.889981999999999829e+00 5.244480000000000253e-01
3.869396000000000058e+00 5.283700000000000063e-01
3.848393999999999870e+00 5.323120000000000074e-01
3.827118000000000020e+00 5.362460000000000004e-01
3.805665999999999993e+00 5.401540000000000230e-01
3.784098000000000184e+00 5.440239999999999521e-01
3.762453999999999965e+00 5.478480000000000016e-01
3.740759999999999863e+00 5.516220000000000567e-01
3.719027999999999778e+00 5.553420000000000023e-01
3.697270000000000056e+00 5.590079999999999494e-01
3.675492000000000203e+00 5.626200000000000090e-01
3.653696000000000055e+00 5.661739999999999551e-01
3.631888000000000005e+00 5.696740000000000137e-01
3.610068000000000055e+00 5.731159999999999588e-01
3.588238000000000039e+00 5.765019999999999589e-01
3.566397999999999957e+00 5.798299999999999566e-01
3.544550000000000090e+00 5.831039999999999557e-01
3.522695999999999827e+00 5.863180000000000058e-01
3.500834000000000223e+00 5.894760000000000000e-01
3.478968000000000060e+00 5.925759999999999916e-01
3.457095999999999947e+00 5.956179999999999808e-01
3.435220000000000162e+00 5.986000000000000210e-01
3.413339999999999819e+00 6.015239999999999476e-01
3.391459999999999919e+00 6.043899999999999828e-01
3.369575999999999905e+00 6.071940000000000115e-01
3.347691999999999890e+00 6.099379999999999802e-01
3.325808000000000320e+00 6.126199999999999424e-01
3.303925999999999696e+00 6.152419999999999556e-01
3.282043999999999961e+00 6.178000000000000158e-01
3.260164000000000062e+00 6.202959999999999585e-01
3.238287999999999833e+00 6.227260000000000018e-01
3.216415999999999720e+00 6.250900000000000345e-01
3.194550000000000001e+00 6.273900000000000032e-01
3.172690000000000232e+00 6.296220000000000150e-01
3.150835999999999970e+00 6.317840000000000122e-01
